mtprotosender.py:234 #INFO     [2026-01-15 12:45:28,556] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:285 #INFO     [2026-01-15 12:45:28,745] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:67 #INFO     [2026-01-15 12:45:29,950] - root - 0| Client has been connected!
utils.py:67 #INFO     [2026-01-15 12:45:29,951] - root - 0| Redis has been initialized!
utils.py:67 #INFO     [2026-01-15 12:45:29,951] - root - 0| Prepare to load data in redis...
utils.py:67 #INFO     [2026-01-15 12:45:29,951] - root - 0| Loading messages data from small groups...
utils.py:67 #INFO     [2026-01-15 12:45:30,161] - root - 0| Data from small groups has been loaded!
utils.py:67 #INFO     [2026-01-15 12:45:30,161] - root - 0| Event handlers has been registered!
utils.py:67 #INFO     [2026-01-15 12:45:30,162] - root - 0| Queue worker has been started!
utils.py:67 #INFO     [2026-01-15 12:45:30,162] - root - 0| Kafka listener has been started!
subscription_state.py:110 #INFO     [2026-01-15 12:45:30,162] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'messages'})
cluster.py:283 #ERROR    [2026-01-15 12:45:30,219] - aiokafka.cluster - 0| Topic messages not found in cluster metadata
group_coordinator.py:575 #ERROR    [2026-01-15 12:45:30,339] - aiokafka.consumer.group_coordinator - 0| Group Coordinator Request failed: [Error 15] GroupCoordinatorNotAvailableError
group_coordinator.py:594 #INFO     [2026-01-15 12:45:30,477] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-01-15 12:45:30,477] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-15 12:45:30,477] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:531 #WARNING  [2026-01-15 12:45:30,485] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:594 #INFO     [2026-01-15 12:45:30,602] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-15 12:45:30,602] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:531 #WARNING  [2026-01-15 12:45:30,603] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:594 #INFO     [2026-01-15 12:45:30,714] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-15 12:45:30,714] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:531 #WARNING  [2026-01-15 12:45:30,716] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:594 #INFO     [2026-01-15 12:45:30,824] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-15 12:45:30,824] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:531 #WARNING  [2026-01-15 12:45:30,824] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:594 #INFO     [2026-01-15 12:45:30,934] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-15 12:45:30,934] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:531 #WARNING  [2026-01-15 12:45:30,936] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:594 #INFO     [2026-01-15 12:45:31,043] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-15 12:45:31,043] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:531 #WARNING  [2026-01-15 12:45:31,045] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:594 #INFO     [2026-01-15 12:45:31,167] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-15 12:45:31,167] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-01-15 12:45:34,260] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 1) with member_id aiokafka-0.12.0-408c518d-b923-45b9-823a-b7426e1892f5
group_coordinator.py:1368 #INFO     [2026-01-15 12:45:34,260] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1519 #INFO     [2026-01-15 12:45:34,272] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 1
group_coordinator.py:506 #INFO     [2026-01-15 12:45:34,272] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='messages', partition=0)} for group demo-group
mtprotosender.py:325 #INFO     [2026-01-15 12:45:34,311] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:345 #INFO     [2026-01-15 12:45:34,311] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
