mtprotosender.py:234 #INFO     [2026-01-19 14:15:03,827] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:285 #INFO     [2026-01-19 14:15:04,010] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:63 #INFO     [2026-01-19 14:15:05,188] - root - 0| Client has been connected!
utils.py:63 #INFO     [2026-01-19 14:15:05,188] - root - 0| Redis has been initialized!
utils.py:63 #INFO     [2026-01-19 14:15:05,188] - root - 0| Prepare to load data in redis...
utils.py:63 #INFO     [2026-01-19 14:15:05,188] - root - 0| Loading messages data from small groups...
utils.py:63 #INFO     [2026-01-19 14:15:08,207] - root - 0| Data from small groups has been loaded!
utils.py:63 #INFO     [2026-01-19 14:15:08,207] - root - 0| Event handlers has been registered!
utils.py:63 #INFO     [2026-01-19 14:15:08,208] - root - 0| Queue worker has been started!
utils.py:63 #INFO     [2026-01-19 14:15:08,208] - root - 0| Kafka listener has been started!
subscription_state.py:110 #INFO     [2026-01-19 14:15:08,208] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'messages'})
group_coordinator.py:594 #INFO     [2026-01-19 14:15:08,226] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-01-19 14:15:08,227] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-19 14:15:08,227] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-01-19 14:15:11,150] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 69) with member_id aiokafka-0.12.0-8abaad4a-2f17-40b9-93c0-d29e67bc905b
group_coordinator.py:1368 #INFO     [2026-01-19 14:15:11,150] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1519 #INFO     [2026-01-19 14:15:11,157] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 69
group_coordinator.py:506 #INFO     [2026-01-19 14:15:11,158] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='messages', partition=0)} for group demo-group
updates.py:443 #INFO     [2026-01-19 14:18:09,276] - telethon.client.updates - 0| Got difference for channel 3514949333 updates
mtprotosender.py:325 #INFO     [2026-01-19 14:19:14,522] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:345 #INFO     [2026-01-19 14:19:14,523] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
group_coordinator.py:314 #ERROR    [2026-01-19 14:19:54,533] - aiokafka.consumer.group_coordinator - 0| Error sending LeaveGroupRequest_v1 to node 1 [[Error 7] RequestTimedOutError] -- marking coordinator dead
group_coordinator.py:531 #WARNING  [2026-01-19 14:19:54,533] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:388 #ERROR    [2026-01-19 14:19:54,533] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request failed: [Error 7] RequestTimedOutError
