utils.py:67 #INFO     [2026-01-10 16:35:10,200] - root - 0| Client has been connected!
utils.py:67 #INFO     [2026-01-10 16:35:10,200] - root - 0| Redis has been initialized!
utils.py:67 #INFO     [2026-01-10 16:35:10,200] - root - 0| Event handlers has been registered!
utils.py:67 #INFO     [2026-01-10 16:35:10,201] - root - 0| Queue worker has been started!
utils.py:67 #INFO     [2026-01-10 16:35:10,201] - root - 0| Kafka listener has been started!
subscription_state.py:110 #INFO     [2026-01-10 16:35:10,201] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'messages'})
cluster.py:283 #ERROR    [2026-01-10 16:35:10,285] - aiokafka.cluster - 0| Topic messages not found in cluster metadata
group_coordinator.py:575 #ERROR    [2026-01-10 16:35:10,403] - aiokafka.consumer.group_coordinator - 0| Group Coordinator Request failed: [Error 15] GroupCoordinatorNotAvailableError
group_coordinator.py:594 #INFO     [2026-01-10 16:35:10,539] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-01-10 16:35:10,539] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-10 16:35:10,539] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:531 #WARNING  [2026-01-10 16:35:10,553] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:594 #INFO     [2026-01-10 16:35:10,666] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-10 16:35:10,667] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:531 #WARNING  [2026-01-10 16:35:10,669] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:594 #INFO     [2026-01-10 16:35:10,790] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-10 16:35:10,790] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:531 #WARNING  [2026-01-10 16:35:10,793] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:594 #INFO     [2026-01-10 16:35:10,899] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-10 16:35:10,899] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:531 #WARNING  [2026-01-10 16:35:10,903] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:594 #INFO     [2026-01-10 16:35:11,022] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-10 16:35:11,022] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:531 #WARNING  [2026-01-10 16:35:11,025] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:594 #INFO     [2026-01-10 16:35:11,145] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-10 16:35:11,145] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:531 #WARNING  [2026-01-10 16:35:11,148] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:594 #INFO     [2026-01-10 16:35:11,270] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-10 16:35:11,270] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-01-10 16:35:14,090] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 1) with member_id aiokafka-0.12.0-fd7c966d-4123-4ea3-a3cc-599eeb235748
group_coordinator.py:1368 #INFO     [2026-01-10 16:35:14,090] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1519 #INFO     [2026-01-10 16:35:14,107] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 1
group_coordinator.py:506 #INFO     [2026-01-10 16:35:14,108] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='messages', partition=0)} for group demo-group
