mtprotosender.py:228 #INFO     [2026-01-29 10:45:12,751] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:279 #INFO     [2026-01-29 10:45:12,947] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:63 #INFO     [2026-01-29 10:45:14,631] - root - 0| Client has been connected!
utils.py:63 #INFO     [2026-01-29 10:45:14,632] - root - 0| Redis has been initialized!
utils.py:63 #INFO     [2026-01-29 10:45:14,632] - root - 0| Prepare to load data in redis...
utils.py:63 #INFO     [2026-01-29 10:45:14,632] - root - 0| Loading messages data from small groups...
utils.py:63 #INFO     [2026-01-29 10:45:17,137] - root - 0| Data from small groups has been loaded!
utils.py:63 #INFO     [2026-01-29 10:45:17,138] - root - 0| Event handlers has been registered!
utils.py:63 #INFO     [2026-01-29 10:45:17,138] - root - 0| Queue worker has been started!
utils.py:63 #INFO     [2026-01-29 10:45:17,139] - root - 0| Kafka listener has been started!
subscription_state.py:110 #INFO     [2026-01-29 10:45:17,139] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'messages'})
group_coordinator.py:594 #INFO     [2026-01-29 10:45:17,180] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-01-29 10:45:17,180] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-29 10:45:17,180] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-01-29 10:45:19,954] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 6) with member_id aiokafka-0.12.0-1d357c77-36dc-4cbe-a87f-0b152b269655
group_coordinator.py:1368 #INFO     [2026-01-29 10:45:19,954] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1519 #INFO     [2026-01-29 10:45:19,963] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 6
group_coordinator.py:506 #INFO     [2026-01-29 10:45:19,963] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='messages', partition=0)} for group demo-group
mtprotosender.py:319 #INFO     [2026-01-29 10:45:32,153] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:339 #INFO     [2026-01-29 10:45:32,153] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
group_coordinator.py:314 #ERROR    [2026-01-29 10:46:12,156] - aiokafka.consumer.group_coordinator - 0| Error sending LeaveGroupRequest_v1 to node 1 [[Error 7] RequestTimedOutError] -- marking coordinator dead
group_coordinator.py:531 #WARNING  [2026-01-29 10:46:12,157] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:388 #ERROR    [2026-01-29 10:46:12,157] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request failed: [Error 7] RequestTimedOutError
