mtprotosender.py:234 #INFO     [2026-01-17 21:27:08,765] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:285 #INFO     [2026-01-17 21:27:08,950] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:67 #INFO     [2026-01-17 21:27:10,195] - root - 0| Client has been connected!
utils.py:67 #INFO     [2026-01-17 21:27:10,195] - root - 0| Redis has been initialized!
utils.py:67 #INFO     [2026-01-17 21:27:10,195] - root - 0| Prepare to load data in redis...
utils.py:67 #INFO     [2026-01-17 21:27:10,195] - root - 0| Loading messages data from small groups...
utils.py:67 #INFO     [2026-01-17 21:27:12,681] - root - 0| Data from small groups has been loaded!
utils.py:67 #INFO     [2026-01-17 21:27:12,681] - root - 0| Event handlers has been registered!
utils.py:67 #INFO     [2026-01-17 21:27:12,681] - root - 0| Queue worker has been started!
utils.py:67 #INFO     [2026-01-17 21:27:12,681] - root - 0| Kafka listener has been started!
subscription_state.py:110 #INFO     [2026-01-17 21:27:12,681] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'messages'})
group_coordinator.py:594 #INFO     [2026-01-17 21:27:12,699] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-01-17 21:27:12,699] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-17 21:27:12,699] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-01-17 21:27:15,969] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 27) with member_id aiokafka-0.12.0-dea7b6a8-1df4-46de-a570-39170e75cf46
group_coordinator.py:1368 #INFO     [2026-01-17 21:27:15,969] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1519 #INFO     [2026-01-17 21:27:15,976] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 27
group_coordinator.py:506 #INFO     [2026-01-17 21:27:15,976] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='messages', partition=0)} for group demo-group
mtprotosender.py:325 #INFO     [2026-01-17 21:31:59,191] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:345 #INFO     [2026-01-17 21:31:59,191] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
