mtprotosender.py:234 #INFO     [2026-01-17 21:48:29,586] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:285 #INFO     [2026-01-17 21:48:29,771] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:67 #INFO     [2026-01-17 21:48:30,939] - root - 0| Client has been connected!
utils.py:67 #INFO     [2026-01-17 21:48:30,940] - root - 0| Redis has been initialized!
utils.py:67 #INFO     [2026-01-17 21:48:30,940] - root - 0| Prepare to load data in redis...
utils.py:67 #INFO     [2026-01-17 21:48:30,940] - root - 0| Loading messages data from small groups...
utils.py:67 #INFO     [2026-01-17 21:48:33,431] - root - 0| Data from small groups has been loaded!
utils.py:67 #INFO     [2026-01-17 21:48:33,431] - root - 0| Event handlers has been registered!
utils.py:67 #INFO     [2026-01-17 21:48:33,431] - root - 0| Queue worker has been started!
utils.py:67 #INFO     [2026-01-17 21:48:33,431] - root - 0| Kafka listener has been started!
subscription_state.py:110 #INFO     [2026-01-17 21:48:33,431] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'messages'})
group_coordinator.py:594 #INFO     [2026-01-17 21:48:33,447] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-01-17 21:48:33,447] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-17 21:48:33,447] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-01-17 21:48:36,762] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 41) with member_id aiokafka-0.12.0-632192c8-9ac3-4616-94df-f415f0ce4d86
group_coordinator.py:1368 #INFO     [2026-01-17 21:48:36,763] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1519 #INFO     [2026-01-17 21:48:36,769] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 41
group_coordinator.py:506 #INFO     [2026-01-17 21:48:36,769] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='messages', partition=0)} for group demo-group
events_catcher.py:31 #INFO     [2026-01-17 21:48:42,853] - root - 0| New event: NewMessage
mtprotosender.py:325 #INFO     [2026-01-17 21:49:00,734] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:345 #INFO     [2026-01-17 21:49:00,734] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
group_coordinator.py:314 #ERROR    [2026-01-17 21:49:40,733] - aiokafka.consumer.group_coordinator - 0| Error sending LeaveGroupRequest_v1 to node 1 [[Error 7] RequestTimedOutError] -- marking coordinator dead
group_coordinator.py:531 #WARNING  [2026-01-17 21:49:40,733] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:388 #ERROR    [2026-01-17 21:49:40,733] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request failed: [Error 7] RequestTimedOutError
