mtprotosender.py:228 #INFO     [2026-01-12 18:47:57,075] - telethon.network.mtprotosender - 0| Connecting to 149.154.175.58:443/TcpFull...
mtprotosender.py:279 #INFO     [2026-01-12 18:47:57,224] - telethon.network.mtprotosender - 0| Connection to 149.154.175.58:443/TcpFull complete!
utils.py:67 #INFO     [2026-01-12 18:47:58,197] - root - 0| Client has been connected!
utils.py:67 #INFO     [2026-01-12 18:47:58,198] - root - 0| Redis has been initialized!
utils.py:67 #INFO     [2026-01-12 18:47:58,198] - root - 0| Event handlers has been registered!
utils.py:67 #INFO     [2026-01-12 18:47:58,198] - root - 0| Queue worker has been started!
utils.py:67 #INFO     [2026-01-12 18:47:58,198] - root - 0| Kafka listener has been started!
subscription_state.py:110 #INFO     [2026-01-12 18:47:58,206] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'messages'})
group_coordinator.py:594 #INFO     [2026-01-12 18:47:58,262] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-01-12 18:47:58,262] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-12 18:47:58,262] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-01-12 18:48:01,036] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 3) with member_id aiokafka-0.12.0-778aeefa-c92f-4640-9d2c-ed9096359510
group_coordinator.py:1368 #INFO     [2026-01-12 18:48:01,037] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1519 #INFO     [2026-01-12 18:48:01,046] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 3
group_coordinator.py:506 #INFO     [2026-01-12 18:48:01,047] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='messages', partition=0)} for group demo-group
