mtprotosender.py:228 #INFO     [2026-01-29 14:27:59,414] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:279 #INFO     [2026-01-29 14:27:59,596] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:63 #INFO     [2026-01-29 14:28:00,859] - root - 0| Client has been connected!
utils.py:63 #INFO     [2026-01-29 14:28:00,860] - root - 0| Redis has been initialized!
utils.py:63 #INFO     [2026-01-29 14:28:00,860] - root - 0| Prepare to load data in redis...
utils.py:63 #INFO     [2026-01-29 14:28:00,860] - root - 0| Loading messages data from small groups...
utils.py:63 #INFO     [2026-01-29 14:28:03,336] - root - 0| Data from small groups has been loaded!
utils.py:63 #INFO     [2026-01-29 14:28:03,337] - root - 0| Event handlers has been registered!
utils.py:63 #INFO     [2026-01-29 14:28:03,338] - root - 0| Queue worker has been started!
utils.py:63 #INFO     [2026-01-29 14:28:03,338] - root - 0| Kafka listener has been started!
subscription_state.py:110 #INFO     [2026-01-29 14:28:03,338] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'messages'})
group_coordinator.py:594 #INFO     [2026-01-29 14:28:03,373] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-01-29 14:28:03,373] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-29 14:28:03,373] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-01-29 14:28:06,377] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 47) with member_id aiokafka-0.12.0-7011c857-33b5-4590-9c94-721bf892ff76
group_coordinator.py:1368 #INFO     [2026-01-29 14:28:06,377] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1519 #INFO     [2026-01-29 14:28:06,386] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 47
group_coordinator.py:506 #INFO     [2026-01-29 14:28:06,386] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='messages', partition=0)} for group demo-group
downloads.py:754 #INFO     [2026-01-29 14:28:25,666] - telethon.client.downloads - 0| Starting direct file download in chunks of 524288 at 0, stride 524288
mtprotosender.py:228 #INFO     [2026-01-29 14:28:25,860] - telethon.network.mtprotosender - 0| Connecting to 149.154.167.41:443/TcpFull...
mtprotosender.py:279 #INFO     [2026-01-29 14:28:27,076] - telethon.network.mtprotosender - 0| Connection to 149.154.167.41:443/TcpFull complete!
telegrambaseclient.py:842 #INFO     [2026-01-29 14:28:27,076] - telethon.client.telegrambaseclient - 0| Exporting auth for new borrowed sender in DcOption(id=2, ip_address='149.154.167.41', port=443, ipv6=False, media_only=False, tcpo_only=False, cdn=False, static=False, this_port_only=False, secret=None)
telegrambaseclient.py:898 #INFO     [2026-01-29 14:30:00,623] - telethon.client.telegrambaseclient - 0| Disconnecting borrowed sender for DC 2
mtprotosender.py:319 #INFO     [2026-01-29 14:30:00,623] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.167.41:443/TcpFull...
mtprotosender.py:339 #INFO     [2026-01-29 14:30:00,625] - telethon.network.mtprotosender - 0| Disconnection from 149.154.167.41:443/TcpFull complete!
mtprotosender.py:319 #INFO     [2026-01-29 14:34:07,280] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:339 #INFO     [2026-01-29 14:34:07,281] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
mtprotosender.py:316 #INFO     [2026-01-29 14:34:07,282] - telethon.network.mtprotosender - 0| Not disconnecting (already have no connection)
