mtprotosender.py:228 #INFO     [2026-01-13 20:01:49,189] - telethon.network.mtprotosender - 0| Connecting to 149.154.175.58:443/TcpFull...
mtprotosender.py:279 #INFO     [2026-01-13 20:01:49,427] - telethon.network.mtprotosender - 0| Connection to 149.154.175.58:443/TcpFull complete!
utils.py:67 #INFO     [2026-01-13 20:01:50,584] - root - 0| Client has been connected!
utils.py:67 #INFO     [2026-01-13 20:01:50,584] - root - 0| Redis has been initialized!
utils.py:67 #INFO     [2026-01-13 20:01:50,584] - root - 0| Prepare to load data in redis...
utils.py:67 #INFO     [2026-01-13 20:01:50,584] - root - 0| Loading messages data from small groups...
utils.py:67 #INFO     [2026-01-13 20:01:51,002] - root - 0| Data from small groups has been loaded!
utils.py:67 #INFO     [2026-01-13 20:01:51,010] - root - 0| Event handlers has been registered!
utils.py:67 #INFO     [2026-01-13 20:01:51,010] - root - 0| Queue worker has been started!
utils.py:67 #INFO     [2026-01-13 20:01:51,010] - root - 0| Kafka listener has been started!
subscription_state.py:110 #INFO     [2026-01-13 20:01:51,012] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'messages'})
cluster.py:283 #ERROR    [2026-01-13 20:01:51,099] - aiokafka.cluster - 0| Topic messages not found in cluster metadata
group_coordinator.py:575 #ERROR    [2026-01-13 20:01:51,217] - aiokafka.consumer.group_coordinator - 0| Group Coordinator Request failed: [Error 15] GroupCoordinatorNotAvailableError
group_coordinator.py:594 #INFO     [2026-01-13 20:01:51,351] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-01-13 20:01:51,351] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-13 20:01:51,351] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:531 #WARNING  [2026-01-13 20:01:51,379] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:594 #INFO     [2026-01-13 20:01:51,493] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-13 20:01:51,493] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:531 #WARNING  [2026-01-13 20:01:51,497] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:594 #INFO     [2026-01-13 20:01:51,605] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-13 20:01:51,605] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:531 #WARNING  [2026-01-13 20:01:51,605] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:594 #INFO     [2026-01-13 20:01:51,714] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-13 20:01:51,714] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:531 #WARNING  [2026-01-13 20:01:51,718] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:594 #INFO     [2026-01-13 20:01:51,837] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-13 20:01:51,837] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:531 #WARNING  [2026-01-13 20:01:51,840] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:594 #INFO     [2026-01-13 20:01:51,941] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-13 20:01:51,941] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:531 #WARNING  [2026-01-13 20:01:51,946] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:594 #INFO     [2026-01-13 20:01:52,061] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-13 20:01:52,061] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:531 #WARNING  [2026-01-13 20:01:52,063] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:594 #INFO     [2026-01-13 20:01:52,171] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-13 20:01:52,171] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:531 #WARNING  [2026-01-13 20:01:52,175] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:594 #INFO     [2026-01-13 20:01:52,284] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-13 20:01:52,284] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1281 #INFO     [2026-01-13 20:01:52,518] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-01-13 20:01:55,569] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 1) with member_id aiokafka-0.12.0-9418ff3b-6e42-4714-8fba-34926d23800d
