mtprotosender.py:228 #INFO     [2025-09-29 12:46:46,296] - telethon.network.mtprotosender - 0| Connecting to 149.154.167.51:443/TcpFull...
mtprotosender.py:279 #INFO     [2025-09-29 12:46:47,875] - telethon.network.mtprotosender - 0| Connection to 149.154.167.51:443/TcpFull complete!
handlers.py:17 #INFO     [2025-09-29 12:50:47,867] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
api_interface.py:150 #INFO     [2025-09-29 12:50:48,452] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/create | {'success': True, 'method': 'create'}
handlers.py:17 #INFO     [2025-09-29 12:51:08,959] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
handlers.py:17 #INFO     [2025-09-29 12:51:18,980] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
handlers.py:17 #INFO     [2025-09-29 12:51:30,501] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
handlers.py:17 #INFO     [2025-09-29 12:51:37,666] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
handlers.py:17 #INFO     [2025-09-29 12:51:44,529] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
handlers.py:17 #INFO     [2025-09-29 12:51:54,969] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
handlers.py:17 #INFO     [2025-09-29 12:52:04,304] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
handlers.py:17 #INFO     [2025-09-29 12:52:45,441] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
handlers.py:17 #INFO     [2025-09-29 12:52:51,160] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
api_interface.py:150 #INFO     [2025-09-29 12:52:51,662] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/create | {'success': True, 'method': 'create'}
handlers.py:17 #INFO     [2025-09-29 12:53:07,681] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
api_interface.py:150 #INFO     [2025-09-29 12:53:08,224] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/create | {'success': True, 'method': 'create'}
handlers.py:17 #INFO     [2025-09-29 12:53:26,001] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
handlers.py:17 #INFO     [2025-09-29 12:53:41,068] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
api_interface.py:150 #INFO     [2025-09-29 12:53:41,827] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/create | {'success': True, 'method': 'create'}
handlers.py:17 #INFO     [2025-09-29 12:54:08,269] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
api_interface.py:150 #INFO     [2025-09-29 12:54:08,711] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/create | {'success': True, 'method': 'create'}
handlers.py:17 #INFO     [2025-09-29 12:54:11,233] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
handlers.py:17 #INFO     [2025-09-29 12:54:11,234] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
api_interface.py:150 #INFO     [2025-09-29 12:54:12,885] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/create | {'success': True, 'method': 'create'}
api_interface.py:150 #INFO     [2025-09-29 12:54:13,976] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/create | {'success': True, 'method': 'create'}
handlers.py:17 #INFO     [2025-09-29 12:54:22,855] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
handlers.py:17 #INFO     [2025-09-29 12:54:22,855] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
handlers.py:17 #INFO     [2025-09-29 12:54:22,856] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
handlers.py:17 #INFO     [2025-09-29 12:54:22,856] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
handlers.py:17 #INFO     [2025-09-29 12:54:22,856] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
