mtprotosender.py:228 #INFO     [2025-10-05 18:25:49,721] - telethon.network.mtprotosender - 0| Connecting to 149.154.167.92:443/TcpFull...
mtprotosender.py:279 #INFO     [2025-10-05 18:25:49,761] - telethon.network.mtprotosender - 0| Connection to 149.154.167.92:443/TcpFull complete!
utils.py:64 #INFO     [2025-10-05 18:25:50,065] - root - 0| Client has been connected!
utils.py:64 #INFO     [2025-10-05 18:25:50,066] - root - 0| Redis has been initialized!
utils.py:64 #INFO     [2025-10-05 18:25:50,066] - root - 0| Prepare to load data in redis...
utils.py:64 #INFO     [2025-10-05 18:25:50,066] - root - 0| Loading messages data from small groups...
utils.py:64 #INFO     [2025-10-05 18:25:50,185] - root - 0| Data from small groups has been loaded!
utils.py:64 #INFO     [2025-10-05 18:25:50,185] - root - 0| Event handlers has been registered!
utils.py:64 #INFO     [2025-10-05 18:29:35,380] - root - 0| Event called: ChatAction. action: MessageActionChatAddUser
api_interface.py:236 #INFO     [2025-10-05 18:29:35,867] - root - 0| 200 | https://tenerife.chat/chat/webhook/telegram/bot_added | {'success': True, 'method': 'bot_added'}
mtprotosender.py:319 #INFO     [2025-10-05 18:30:29,552] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.167.92:443/TcpFull...
mtprotosender.py:339 #INFO     [2025-10-05 18:30:29,552] - telethon.network.mtprotosender - 0| Disconnection from 149.154.167.92:443/TcpFull complete!
