mtprotosender.py:228 #INFO     [2026-01-29 11:11:09,634] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:279 #INFO     [2026-01-29 11:11:09,852] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:63 #INFO     [2026-01-29 11:11:11,203] - root - 0| Client has been connected!
utils.py:63 #INFO     [2026-01-29 11:11:11,204] - root - 0| Redis has been initialized!
utils.py:63 #INFO     [2026-01-29 11:11:11,204] - root - 0| Prepare to load data in redis...
utils.py:63 #INFO     [2026-01-29 11:11:11,204] - root - 0| Loading messages data from small groups...
utils.py:63 #INFO     [2026-01-29 11:11:13,716] - root - 0| Data from small groups has been loaded!
utils.py:63 #INFO     [2026-01-29 11:11:13,717] - root - 0| Event handlers has been registered!
utils.py:63 #INFO     [2026-01-29 11:11:13,717] - root - 0| Queue worker has been started!
utils.py:63 #INFO     [2026-01-29 11:11:13,717] - root - 0| Kafka listener has been started!
subscription_state.py:110 #INFO     [2026-01-29 11:11:13,718] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'messages'})
group_coordinator.py:594 #INFO     [2026-01-29 11:11:13,760] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-01-29 11:11:13,760] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-29 11:11:13,760] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-01-29 11:11:16,540] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 22) with member_id aiokafka-0.12.0-e9691d15-0066-4b6c-9569-6f7f27861ff9
group_coordinator.py:1368 #INFO     [2026-01-29 11:11:16,540] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1519 #INFO     [2026-01-29 11:11:16,551] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 22
group_coordinator.py:506 #INFO     [2026-01-29 11:11:16,551] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='messages', partition=0)} for group demo-group
mtprotosender.py:319 #INFO     [2026-01-29 11:16:14,126] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:339 #INFO     [2026-01-29 11:16:14,128] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
