mtprotosender.py:228 #INFO     [2026-01-29 11:25:56,473] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:279 #INFO     [2026-01-29 11:25:56,666] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:63 #INFO     [2026-01-29 11:25:58,261] - root - 0| Client has been connected!
utils.py:63 #INFO     [2026-01-29 11:25:58,262] - root - 0| Redis has been initialized!
utils.py:63 #INFO     [2026-01-29 11:25:58,262] - root - 0| Prepare to load data in redis...
utils.py:63 #INFO     [2026-01-29 11:25:58,263] - root - 0| Loading messages data from small groups...
utils.py:63 #INFO     [2026-01-29 11:26:00,742] - root - 0| Data from small groups has been loaded!
utils.py:63 #INFO     [2026-01-29 11:26:00,744] - root - 0| Event handlers has been registered!
utils.py:63 #INFO     [2026-01-29 11:26:00,744] - root - 0| Queue worker has been started!
utils.py:63 #INFO     [2026-01-29 11:26:00,745] - root - 0| Kafka listener has been started!
subscription_state.py:110 #INFO     [2026-01-29 11:26:00,745] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'messages'})
group_coordinator.py:594 #INFO     [2026-01-29 11:26:00,783] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-01-29 11:26:00,783] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-29 11:26:00,783] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-01-29 11:26:03,559] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 25) with member_id aiokafka-0.12.0-96cd7f7f-cf91-45b7-ba52-22b588009374
group_coordinator.py:1368 #INFO     [2026-01-29 11:26:03,559] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1519 #INFO     [2026-01-29 11:26:03,572] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 25
group_coordinator.py:506 #INFO     [2026-01-29 11:26:03,573] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='messages', partition=0)} for group demo-group
mtprotosender.py:319 #INFO     [2026-01-29 11:26:17,507] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:339 #INFO     [2026-01-29 11:26:17,507] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
