mtprotosender.py:228 #INFO     [2025-10-04 20:05:18,525] - telethon.network.mtprotosender - 0| Connecting to 149.154.167.51:443/TcpFull...
mtprotosender.py:279 #INFO     [2025-10-04 20:05:18,560] - telethon.network.mtprotosender - 0| Connection to 149.154.167.51:443/TcpFull complete!
handlers.py:99 #INFO     [2025-10-04 20:05:26,632] - root - 0| Handler called. MessageDeleted
api_interface.py:237 #INFO     [2025-10-04 20:05:27,061] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/delete | {'success': True, 'method': 'delete'}
updates.py:344 #INFO     [2025-10-04 20:05:34,979] - telethon.client.updates - 0| Got difference for account updates
updates.py:443 #INFO     [2025-10-04 20:05:35,435] - telethon.client.updates - 0| Got difference for channel 2975286347 updates
handlers.py:99 #INFO     [2025-10-04 20:05:38,254] - root - 0| Handler called. MessageDeleted
api_interface.py:237 #INFO     [2025-10-04 20:05:38,719] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/delete | {'success': True, 'method': 'delete'}
mtprotosender.py:319 #INFO     [2025-10-04 20:05:54,293] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.167.51:443/TcpFull...
mtprotosender.py:339 #INFO     [2025-10-04 20:05:54,294] - telethon.network.mtprotosender - 0| Disconnection from 149.154.167.51:443/TcpFull complete!
