mtprotosender.py:228 #INFO     [2026-01-29 14:22:26,452] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:279 #INFO     [2026-01-29 14:22:26,633] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:63 #INFO     [2026-01-29 14:22:27,842] - root - 0| Client has been connected!
utils.py:63 #INFO     [2026-01-29 14:22:27,842] - root - 0| Redis has been initialized!
utils.py:63 #INFO     [2026-01-29 14:22:27,842] - root - 0| Prepare to load data in redis...
utils.py:63 #INFO     [2026-01-29 14:22:27,843] - root - 0| Loading messages data from small groups...
utils.py:63 #INFO     [2026-01-29 14:22:30,360] - root - 0| Data from small groups has been loaded!
utils.py:63 #INFO     [2026-01-29 14:22:30,361] - root - 0| Event handlers has been registered!
utils.py:63 #INFO     [2026-01-29 14:22:30,362] - root - 0| Queue worker has been started!
utils.py:63 #INFO     [2026-01-29 14:22:30,362] - root - 0| Kafka listener has been started!
subscription_state.py:110 #INFO     [2026-01-29 14:22:30,362] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'messages'})
group_coordinator.py:594 #INFO     [2026-01-29 14:22:30,389] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-01-29 14:22:30,389] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-29 14:22:30,389] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-01-29 14:22:33,165] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 43) with member_id aiokafka-0.12.0-dbae2061-fee9-41fe-abbe-7355ee546fec
group_coordinator.py:1368 #INFO     [2026-01-29 14:22:33,165] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1519 #INFO     [2026-01-29 14:22:33,179] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 43
group_coordinator.py:506 #INFO     [2026-01-29 14:22:33,179] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='messages', partition=0)} for group demo-group
mtprotosender.py:319 #INFO     [2026-01-29 14:23:57,180] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:339 #INFO     [2026-01-29 14:23:57,180] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
