mtprotosender.py:228 #INFO     [2025-10-03 21:43:19,194] - telethon.network.mtprotosender - 0| Connecting to 149.154.167.51:443/TcpFull...
mtprotosender.py:279 #INFO     [2025-10-03 21:43:19,229] - telethon.network.mtprotosender - 0| Connection to 149.154.167.51:443/TcpFull complete!
handlers.py:116 #INFO     [2025-10-03 21:43:26,884] - root - 0| Handler called. ChatAction
handlers.py:116 #INFO     [2025-10-03 21:44:01,142] - root - 0| Handler called. ChatAction
api_interface.py:234 #INFO     [2025-10-03 21:44:01,573] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/bot_added | {'success': True, 'method': 'bot_added'}
handlers.py:116 #INFO     [2025-10-03 21:44:12,089] - root - 0| Handler called. ChatAction
updates.py:344 #INFO     [2025-10-03 21:44:21,222] - telethon.client.updates - 0| Got difference for account updates
handlers.py:116 #INFO     [2025-10-03 21:44:21,222] - root - 0| Handler called. ChatAction
api_interface.py:234 #INFO     [2025-10-03 21:44:21,579] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/bot_added | {'success': True, 'method': 'bot_added'}
handlers.py:116 #INFO     [2025-10-03 21:44:32,479] - root - 0| Handler called. ChatAction
updates.py:443 #INFO     [2025-10-03 21:45:09,572] - telethon.client.updates - 0| Got difference for channel 3161931895 updates
handlers.py:116 #INFO     [2025-10-03 21:45:09,572] - root - 0| Handler called. ChatAction
updates.py:443 #INFO     [2025-10-03 21:45:34,465] - telethon.client.updates - 0| Got difference for channel 1680980716 updates
updates.py:443 #INFO     [2025-10-03 21:45:59,062] - telethon.client.updates - 0| Got difference for channel 1680980716 updates
updates.py:443 #INFO     [2025-10-03 21:45:59,553] - telethon.client.updates - 0| Got difference for channel 1622805074 updates
mtprotosender.py:319 #INFO     [2025-10-03 21:46:36,905] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.167.51:443/TcpFull...
mtprotosender.py:339 #INFO     [2025-10-03 21:46:36,905] - telethon.network.mtprotosender - 0| Disconnection from 149.154.167.51:443/TcpFull complete!
