mtprotosender.py:228 #INFO     [2025-10-03 12:18:42,084] - telethon.network.mtprotosender - 0| Connecting to 149.154.167.51:443/TcpFull...
mtprotosender.py:279 #INFO     [2025-10-03 12:18:42,195] - telethon.network.mtprotosender - 0| Connection to 149.154.167.51:443/TcpFull complete!
handlers.py:12 #INFO     [2025-10-03 12:18:46,615] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
handlers.py:12 #INFO     [2025-10-03 12:18:46,618] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
api_interface.py:234 #INFO     [2025-10-03 12:18:48,001] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/create | {'success': True, 'method': 'create'}
api_interface.py:234 #INFO     [2025-10-03 12:18:49,311] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/create | {'success': True, 'method': 'create'}
handlers.py:12 #INFO     [2025-10-03 12:18:49,858] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
api_interface.py:234 #INFO     [2025-10-03 12:18:50,651] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/topicEdited | {'success': True, 'method': 'topicEdited'}
api_interface.py:234 #INFO     [2025-10-03 12:18:50,823] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/create | {'success': True, 'method': 'create'}
handlers.py:12 #INFO     [2025-10-03 12:18:51,069] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
api_interface.py:234 #INFO     [2025-10-03 12:18:51,408] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/create | {'success': True, 'method': 'create'}
handlers.py:12 #INFO     [2025-10-03 12:18:59,171] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
api_interface.py:234 #INFO     [2025-10-03 12:18:59,424] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/create | {'success': True, 'method': 'create'}
mtprotosender.py:319 #INFO     [2025-10-03 12:19:07,062] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.167.51:443/TcpFull...
mtprotosender.py:339 #INFO     [2025-10-03 12:19:07,063] - telethon.network.mtprotosender - 0| Disconnection from 149.154.167.51:443/TcpFull complete!
