mtprotosender.py:228 #INFO     [2025-10-03 20:01:53,173] - telethon.network.mtprotosender - 0| Connecting to 149.154.167.51:443/TcpFull...
mtprotosender.py:279 #INFO     [2025-10-03 20:01:53,214] - telethon.network.mtprotosender - 0| Connection to 149.154.167.51:443/TcpFull complete!
handlers.py:12 #INFO     [2025-10-03 20:02:16,328] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
handlers.py:12 #INFO     [2025-10-03 20:02:28,498] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
api_interface.py:236 #INFO     [2025-10-03 20:02:29,858] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/create | {'success': True, 'method': 'create'}
handlers.py:12 #INFO     [2025-10-03 20:02:37,796] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
api_interface.py:236 #INFO     [2025-10-03 20:02:38,037] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/create | {'success': True, 'method': 'create'}
handlers.py:12 #INFO     [2025-10-03 20:02:53,530] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
handlers.py:12 #INFO     [2025-10-03 20:02:53,530] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
api_interface.py:236 #INFO     [2025-10-03 20:02:53,861] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/create | {'success': True, 'method': 'create'}
api_interface.py:236 #INFO     [2025-10-03 20:02:53,949] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/create | {'success': True, 'method': 'create'}
handlers.py:12 #INFO     [2025-10-03 20:03:41,229] - root - 0| Handler called. NewMessage. type = <class 'telethon.tl.patched.Message'>
api_interface.py:236 #INFO     [2025-10-03 20:03:41,649] - venv - 0| 200 | https://tenerife.chat/chat/webhook/telegram/create | {'success': True, 'method': 'create'}
mtprotosender.py:319 #INFO     [2025-10-03 20:03:53,179] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.167.51:443/TcpFull...
mtprotosender.py:339 #INFO     [2025-10-03 20:03:53,179] - telethon.network.mtprotosender - 0| Disconnection from 149.154.167.51:443/TcpFull complete!
