mtprotosender.py:234 #INFO     [2026-01-15 14:24:40,740] - telethon.network.mtprotosender - 0| Connecting to 149.154.171.5:443/TcpFull...
mtprotosender.py:285 #INFO     [2026-01-15 14:24:40,927] - telethon.network.mtprotosender - 0| Connection to 149.154.171.5:443/TcpFull complete!
utils.py:67 #INFO     [2026-01-15 14:24:42,118] - root - 0| Client has been connected!
utils.py:67 #INFO     [2026-01-15 14:24:42,119] - root - 0| Redis has been initialized!
utils.py:67 #INFO     [2026-01-15 14:24:42,119] - root - 0| Prepare to load data in redis...
utils.py:67 #INFO     [2026-01-15 14:24:42,119] - root - 0| Loading messages data from small groups...
utils.py:67 #INFO     [2026-01-15 14:24:44,624] - root - 0| Data from small groups has been loaded!
utils.py:67 #INFO     [2026-01-15 14:24:44,625] - root - 0| Event handlers has been registered!
utils.py:67 #INFO     [2026-01-15 14:24:44,625] - root - 0| Queue worker has been started!
utils.py:67 #INFO     [2026-01-15 14:24:44,625] - root - 0| Kafka listener has been started!
subscription_state.py:110 #INFO     [2026-01-15 14:24:44,625] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'messages'})
group_coordinator.py:594 #INFO     [2026-01-15 14:24:44,644] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2026-01-15 14:24:44,644] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2026-01-15 14:24:44,644] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2026-01-15 14:24:47,940] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 13) with member_id aiokafka-0.12.0-ed2085aa-d48a-4a31-9518-d9054263fe3a
group_coordinator.py:1368 #INFO     [2026-01-15 14:24:47,940] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1519 #INFO     [2026-01-15 14:24:47,949] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 13
group_coordinator.py:506 #INFO     [2026-01-15 14:24:47,949] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='messages', partition=0)} for group demo-group
mtprotosender.py:325 #INFO     [2026-01-15 14:29:27,917] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.171.5:443/TcpFull...
mtprotosender.py:345 #INFO     [2026-01-15 14:29:27,917] - telethon.network.mtprotosender - 0| Disconnection from 149.154.171.5:443/TcpFull complete!
group_coordinator.py:314 #ERROR    [2026-01-15 14:30:07,922] - aiokafka.consumer.group_coordinator - 0| Error sending LeaveGroupRequest_v1 to node 1 [[Error 7] RequestTimedOutError] -- marking coordinator dead
group_coordinator.py:531 #WARNING  [2026-01-15 14:30:07,922] - aiokafka.consumer.group_coordinator - 0| Marking the coordinator dead (node 1)for group demo-group.
group_coordinator.py:388 #ERROR    [2026-01-15 14:30:07,922] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request failed: [Error 7] RequestTimedOutError
